,БЮ,Склад,Местоположение,"Код 
номенклатуры",Краткое наименование,Описание товара,Reason code,ТГ,НГ,Поставщик,Наименование,"Физические 
запасы",Продано,"Зарезерви
ровано",Доступно
0,825,A11_825,A11_825_BEDDIG,80296463,Покрывала 2 спальные,"Плед MICASA Zigzag RG-5279, 200х220 см, коричневый",Выставочный образец,11,012,80002380,R.G.EXPORTS,1,,,1
1,825,A11_825,A11_825_BEDDIG,80310431,КПБ 2 спальные,"КПБ 2 сп. ESTUDI BLANCO HY-2601-2 (нав.50х70см-2шт., 70х70см-2шт.), синий",Выставочный образец,11,001,80002642,"Nantong Xizhu Textile Co.,Ltd",1,,,1
2,825,A11_825,A11_825_BEDDIG,80310435,КПБ евро,"КПБ Евро ESTUDI BLANCO HY-2602-3 (нав.50х70см-2шт., 70х70см-2шт.), золотой",Выставочный образец,11,001,80002642,"Nantong Xizhu Textile Co.,Ltd",1,,,1
3,825,A11_825,A11_825_BEDDIG,80318649,КПБ евро,"КПБ Евро ESTUDI BLANCO HY-2802-3 (нав.50х70см-2шт., 70х70см-2шт.), кофейный",Выставочный образец,11,001,80002642,"Nantong Xizhu Textile Co.,Ltd",1,,,1
4,825,A11_825,A11_825_BEDDIG,80318714,КПБ 2 спальные,"КПБ 2 сп. ESTUDI BLANCO HY-3004-2 (нав.50х70см-2шт., 70х70см-2шт.), золотой",Выставочный образец,11,001,80002642,"Nantong Xizhu Textile Co.,Ltd",1,,,1
5,825,A11_825,A11_825_BEDDIG,80329760,"Пледы 1,5 спальные","Плед MICASA Lanado FEMB, 140х200 см, коричневый",Выставочный образец,11,011,80002385,"JIANDE LONGMA HOME TEXTILES CO., LTD",1,,,1
6,825,A11_825,A11_825_BEDDIG,80331150,"КПБ 1,5 спальные","КПБ 1,5 сп. ESTUDI BLANCO Darsia 582/0032952/2043 (нав.50(70)х70см-2шт.), белый",Выставочный образец,11,001,80001080,"ООО  ТД ""Леди прима""",1,,,1
7,825,A11_825,A11_825_BEDDIG,80337550,"КПБ 1,5 спальные","КПБ 1,5 сп MICASA Albar м102.20.04 (нав.50х70см-2шт.), белый (5000)",Выставочный образец,11,001,80002687,"ООО ""Хоум Стайл""",1,,,1
8,825,A11_825,a11_825_BEDDIG,80337723,КПБ евро,"КПБ Евро DELUNA Tessa 19070221 (нав. 50х70 см - 2 шт., 70х70 см - 2 шт.), светло-сиреневый/светло-розовый",Выставочный образец,11,001,80002536,"NANTONG OUBIYA BEDROOM ARTICLES CO.,LTD",1,,,1
9,825,A11_825,A11_825_BEDDIG,80337726,КПБ евро,"КПБ Евро DELUNA Chiara 19070224 (нав. 50х70 см - 2 шт., 70х70 см - 2 шт.), синий/сиреневый/белый",Выставочный образец,11,001,80002536,"NANTONG OUBIYA BEDROOM ARTICLES CO.,LTD",1,,,1
10,825,A11_825,A11_825_BEDDIG,80340396,Наволочки 50х70,"Комплект наволочек ESTUDI BLANCO 725/0031668/2256, 50х70 см, 2 шт., тёмно-синий",Выставочный образец,11,015,80001080,"ООО  ТД ""Леди прима""",1,,,1
11,825,A11_825,A11_825_BEDDIG,80340400,Пододеяльники евро,"Пододеяльник Евро ESTUDI BLANCO 954/0031668/2256, 200х220 см, тёмно-синий",Выставочный образец,11,015,80001080,"ООО  ТД ""Леди прима""",1,,,1
12,825,A11_825,A11_825_BEDDIG,80348232,"КПБ 1,5 спальные","КПБ 1,5 сп. MITTE Elke 66175 (нав. 50х70см-2 шт.)",Выставочный образец,11,001,80000681,"ООО ""ИНФОТЕКС""",1,,,1
13,825,A11_825,A11_825_BEDDIG,80364489,"КПБ 1,5 спальные","КПБ 1,5 сп. MICASA Luis 20091437 (нав. 50х70 см - 2 шт.), светло-серый/тёмно-серый",Выставочный образец,11,001,80002536,"NANTONG OUBIYA BEDROOM ARTICLES CO.,LTD",1,,,1
14,825,A11_825,A11_825_BEDDIG,80364533,"КПБ 1,5 спальные","КПБ 1,5 сп. MICASA Demi 20091481 (нав. 50х70 см - 2 шт.), тёмно-зелёный/бежевый",Выставочный образец,11,001,80002536,"NANTONG OUBIYA BEDROOM ARTICLES CO.,LTD",1,,,1
15,825,A11_825,A11_825_BEDDIG,80364561,"КПБ 1,5 спальные","КПБ 1,5 сп. MICASA Jose 20091509 (нав. 50х70 см - 2 шт.), тёмно-серый/жёлтый",Выставочный образец,11,001,80002536,"NANTONG OUBIYA BEDROOM ARTICLES CO.,LTD",1,,,1
16,825,A11_825,A11_825_BEDDIG,80364585,"КПБ 1,5 спальные","КПБ 1,5 сп. MICASA Ellen 20091533 (нав. 50х70 см - 2 шт.), голубой/светло-персиковый",Выставочный образец,11,001,80002536,"NANTONG OUBIYA BEDROOM ARTICLES CO.,LTD",1,,,1
17,825,A11_825,A11_825_BEDDIG,80364597,"КПБ 1,5 спальные","КПБ 1,5 сп. MICASA Ada 20091545 (нав. 50х70 см - 2 шт.), белый/тёмно-серый",Выставочный образец,11,001,80002536,"NANTONG OUBIYA BEDROOM ARTICLES CO.,LTD",1,,,1
18,825,A11_825,A11_825_BEDDIG,80366170,"КПБ 1,5 спальные","КПБ 1,5 сп. ESTUDI BLANCO Estela 582/0032952/2870, (нав. 50(70)х70 см-2 шт.), тёмно-розовый",Выставочный образец,11,001,80001080,"ООО  ТД ""Леди прима""",1,,,1
19,825,A11_825,A11_825_BEDDIG,80366174,"КПБ 1,5 спальные","КПБ 1,5 сп. ESTUDI BLANCO Agustín 582/0032952/2872, (нав. 50(70)х70 см-2 шт.), синий",Выставочный образец,11,001,80001080,"ООО  ТД ""Леди прима""",1,,,1
20,825,A11_825,A11_825_BEDDIG,80366179,Наволочки 70х70,"Комплект наволочек ESTUDI BLANCO 727/0031668/2869, 70х70 см, 2 шт., молочный",Выставочный образец,11,015,80001080,"ООО  ТД ""Леди прима""",1,,,1
21,825,A11_825,A11_825_BEDDIG,80366182,Пододеяльники евро,"Пододеяльник Евро ESTUDI BLANCO 954/0031668/2869, 200х220 см, молочный",Выставочный образец,11,015,80001080,"ООО  ТД ""Леди прима""",1,,,1
22,825,A11_825,A11_825_BEDDIG,80366184,Простыни 2 спальные,"Простыня ESTUDI BLANCO 904/0031668/2869, 200х220 см, молочный",Выставочный образец,11,015,80001080,"ООО  ТД ""Леди прима""",1,,,1
23,825,A11_825,A11_825_BEDDIG,80368455,"КПБ 1,5 спальные","КПБ 1,5 сп. MICASA Donatella м102.21.04 (нав. 50х70 см-2 шт.), персиковый (4627-1+4627а-1)",Выставочный образец,11,001,80002687,"ООО ""Хоум Стайл""",1,,,1
24,825,A11_825,A11_825_BEDDIG,80370891,"КПБ 1,5 спальные","КПБ 1,5 сп. MITTE Narde м102.18.04 (нав. 50х70см-2 шт.), лавандовый (4641-1)",Выставочный образец,11,001,80002687,"ООО ""Хоум Стайл""",1,,,1
25,825,A11_825,A11_825_BEDDIG,80370894,"КПБ 1,5 спальные","КПБ 1,5 сп. MITTE Grau м102.18.04 (нав. 50х70см-2 шт.), серый (4640-1)",Выставочный образец,11,001,80002687,"ООО ""Хоум Стайл""",1,,,1
26,825,A11_825,A11_825_BEDDIG,80370897,"КПБ 1,5 спальные","КПБ 1,5 сп. MITTE Klara м102.17.04 (нав. 50х70см-2 шт.), коричневый (4640-1)",Выставочный образец,11,001,80002687,"ООО ""Хоум Стайл""",1,,,1
27,825,A11_825,A11_825_BEDDIG,80370900,"КПБ 1,5 спальные","КПБ 1,5 сп. MITTE Swen м102.17.04 (нав. 50х70см-2 шт.), белый (4640-1)",Выставочный образец,11,001,80002687,"ООО ""Хоум Стайл""",1,,,1
28,825,A11_825,A11_825_BEDDIG,80370911,"КПБ 1,5 спальные","КПБ 1,5 сп. MICASA Marcos м102.21.04 (нав. 50х70см-2 шт.), бежевый (4630-1+4630а-1)",Выставочный образец,11,001,80002687,"ООО ""Хоум Стайл""",1,,,1
29,825,A11_825,A11_825_BEDDIG,80373885,"КПБ 1,5 спальные","КПБ 1,5 сп. MITTE Anika м102.17.04 (нав. 50х70см-2 шт.), серый",Выставочный образец,11,001,80002687,"ООО ""Хоум Стайл""",1,,,1
30,825,A11_825,A11_825_BEDDIG,80374713,"КПБ 1,5 спальные","КПБ 1,5 сп. ESTUDI BLANCO Nicoleo 570/0031667*/2901 (нав. 50(70)х70 см-2 шт.), синий",Выставочный образец,11,001,80001080,"ООО  ТД ""Леди прима""",1,,,1
31,825,A11_825,A11_825_BEDDIG,80383373,"КПБ 1,5 спальные","КПБ 1,5 сп. MICASA Selena 228532 (нав. 50х70 см -  2 шт.), серо-бирюзовый",Выставочный образец,11,001,80000648,"ООО ""ТДЛ Текстиль""",1,,,1
